Buenos Aires,-34.603722,-58.381592
São Paulo,-23.550520,-46.633308
Santiago,-33.448891,-70.669266
Lima,-12.046374,-77.042793
Bogotá,4.7110,-74.0721
Caracas,10.4806,-66.9036
Montevideo,-34.9011,-56.1645
Quito,-0.1807,-78.4678
Asunción,-25.2637,-57.5759
La Paz,-16.5000,-68.1500
Guayaquil,-2.170998,-79.922359
Cali,3.451647,-76.531985
Rosario,-32.9468,-60.6393
Manaos,-3.119028,-60.021731
Valparaíso,-33.047238,-71.612686
Ciudad de México,19.432608,-99.133209
Guadalajara,20.659698,-103.349609
Monterrey,25.686614,-100.316113
San José,9.928069,-84.090725
Panamá,8.983333,-79.516667
