Buenos Aires,-34.603722,-58.381592
São Paulo,-23.550520,-46.633308
Santiago,-33.448891,-70.669266
Lima,-12.046374,-77.042793
Bogotá,4.7110,-74.0721
Caracas,10.4806,-66.9036
Montevideo,-34.9011,-56.1645
Quito,-0.1807,-78.4678
Asunción,-25.2637,-57.5759
La Paz,-16.5000,-68.1500
Guayaquil,-2.170998,-79.922359
Cali,3.451647,-76.531985
Rosario,-32.9468,-60.6393
Manaos,-3.119028,-60.021731
Valparaíso,-33.047238,-71.612686
Ciudad de México,19.432608,-99.133209
Guadalajara,20.659698,-103.349609
Monterrey,25.686614,-100.316113
San José,9.928069,-84.090725
Panamá,8.983333,-79.516667
San Salvador,13.692940,-89.218191
Tegucigalpa,14.072275,-87.192136
Managua,12.136389,-86.251389
La Habana,23.113592,-82.366596
Santo Domingo,18.486058,-69.931212
Medellín,6.244203,-75.581211
Maracaibo,10.654450,-71.705126
Córdoba,-31.420083,-64.188776
Mar del Plata,-38.005477,-57.542611
Recife,-8.047562,-34.877001
Belém,-1.455833,-48.490278
Fortaleza,-3.717220,-38.543369
Salvador,-12.971400,-38.501399
Punta Arenas,-53.163833,-70.917068
Barranquilla,10.968540,-74.781316
Cartagena,10.391049,-75.479426
Santa Cruz de la Sierra,-17.783327,-63.182140
Cuenca,-2.900128,-79.004524
Puerto Montt,-41.471722,-72.936882
San Juan,-31.537500,-68.536389
San Luis Potosí,22.156469,-100.985540
Hermosillo,29.072967,-110.955919
Puebla,19.041296,-98.206200
Mérida,20.967370,-89.592586
Tijuana,32.514947,-117.038247
Cancún,21.161908,-86.851528
Tuxtla Gutiérrez,16.759731,-93.113065
Montego Bay,18.471900,-77.918869
Kingston,17.971214,-76.793580
Puerto España,10.654901,-61.501926
Bridgetown,13.113222,-59.598808
Paramaribo,5.852036,-55.203828
Belmopán,17.251011,-88.759020
San Pedro Sula,15.506036,-88.025574
Santa Marta,11.240354,-74.211023
Port-au-Prince,18.594395,-72.307433
Pereira,4.813333,-75.696111
Iquitos,-3.743674,-73.251634
Antofagasta,-23.650000,-70.400000
Sucre,-19.033320,-65.262740

